Date,Date,MeanTemp
1943-05-11,1943-05-11,28.88888889
1943-05-12,1943-05-12,25.55555556
1943-05-13,1943-05-13,24.44444444
1943-05-14,1943-05-14,23.88888889
1943-05-15,1943-05-15,27.77777778
1943-05-16,1943-05-16,26.66666667
1943-05-17,1943-05-17,24.44444444
1943-05-18,1943-05-18,24.44444444
1943-05-19,1943-05-19,24.44444444
1943-05-20,1943-05-20,24.44444444
1943-05-21,1943-05-21,24.44444444
1943-05-22,1943-05-22,24.44444444
1943-05-23,1943-05-23,25.55555556
1943-05-24,1943-05-24,27.22222222
1943-05-25,1943-05-25,26.66666667
1943-05-26,1943-05-26,25.55555556
1943-05-27,1943-05-27,23.33333333
1943-05-28,1943-05-28,25.55555556
1943-05-29,1943-05-29,27.77777778
1943-05-30,1943-05-30,30.0
1943-05-31,1943-05-31,28.33333333
1943-06-01,1943-06-01,28.33333333
1943-06-02,1943-06-02,27.77777778
1943-06-03,1943-06-03,27.22222222
1943-06-04,1943-06-04,28.88888889
1943-06-05,1943-06-05,26.66666667
1943-06-06,1943-06-06,26.66666667
1943-06-07,1943-06-07,27.77777778
1943-06-08,1943-06-08,27.77777778
1943-06-09,1943-06-09,26.66666667
1943-06-10,1943-06-10,27.77777778
1943-06-11,1943-06-11,30.0
1943-06-12,1943-06-12,27.77777778
1943-06-13,1943-06-13,26.66666667
1943-06-14,1943-06-14,28.33333333
1943-06-15,1943-06-15,29.44444444
1943-06-16,1943-06-16,26.66666667
1943-06-17,1943-06-17,27.77777778
1943-06-18,1943-06-18,28.88888889
1943-06-19,1943-06-19,27.77777778
1943-06-20,1943-06-20,28.33333333
1943-06-21,1943-06-21,28.33333333
1943-06-22,1943-06-22,28.88888889
1943-06-23,1943-06-23,28.88888889
1943-06-24,1943-06-24,27.77777778
1943-06-25,1943-06-25,28.33333333
1943-06-26,1943-06-26,28.33333333
1943-06-27,1943-06-27,29.44444444
1943-06-28,1943-06-28,28.88888889
1943-06-29,1943-06-29,28.88888889
1943-06-30,1943-06-30,27.77777778
1943-07-01,1943-07-01,27.77777778
1943-07-02,1943-07-02,28.33333333
1943-07-03,1943-07-03,27.77777778
1943-07-04,1943-07-04,27.22222222
1943-07-05,1943-07-05,27.77777778
1943-07-06,1943-07-06,27.77777778
1943-07-07,1943-07-07,27.77777778
1943-07-08,1943-07-08,28.88888889
1943-07-09,1943-07-09,28.88888889
1943-07-10,1943-07-10,29.44444444
1943-07-11,1943-07-11,31.11111111
1943-07-12,1943-07-12,31.11111111
1943-07-13,1943-07-13,28.88888889
1943-07-14,1943-07-14,28.88888889
1943-07-15,1943-07-15,27.77777778
1943-07-16,1943-07-16,29.44444444
1943-07-17,1943-07-17,29.44444444
1943-07-18,1943-07-18,28.88888889
1943-07-19,1943-07-19,25.55555556
1943-07-20,1943-07-20,28.88888889
1943-07-21,1943-07-21,28.88888889
1943-07-22,1943-07-22,28.88888889
1943-07-23,1943-07-23,30.0
1943-07-24,1943-07-24,31.11111111
1943-07-25,1943-07-25,30.0
1943-07-26,1943-07-26,30.0
1943-07-27,1943-07-27,28.88888889
1943-07-28,1943-07-28,28.88888889
1943-07-29,1943-07-29,28.88888889
1943-07-30,1943-07-30,30.0
1943-07-31,1943-07-31,28.88888889
1943-08-01,1943-08-01,27.22222222
1943-08-02,1943-08-02,28.88888889
1943-08-03,1943-08-03,28.88888889
1943-08-04,1943-08-04,27.77777778
1943-08-05,1943-08-05,29.44444444
1943-08-06,1943-08-06,28.33333333
1943-08-07,1943-08-07,27.22222222
1943-08-08,1943-08-08,27.77777778
1943-08-09,1943-08-09,26.66666667
1943-08-10,1943-08-10,27.77777778
1943-08-11,1943-08-11,26.66666667
1943-08-12,1943-08-12,28.88888889
1943-08-13,1943-08-13,30.0
1943-08-14,1943-08-14,26.11111111
1943-08-15,1943-08-15,27.77777778
1943-08-16,1943-08-16,27.77777778
1943-08-17,1943-08-17,28.88888889
1943-08-18,1943-08-18,28.88888889
1943-08-19,1943-08-19,28.33333333
1943-08-20,1943-08-20,29.44444444
1943-08-21,1943-08-21,27.77777778
1943-08-22,1943-08-22,27.77777778
1943-08-23,1943-08-23,28.88888889
1943-08-24,1943-08-24,28.88888889
1943-08-25,1943-08-25,28.88888889
1943-08-26,1943-08-26,26.11111111
1943-08-27,1943-08-27,25.55555556
1943-08-28,1943-08-28,27.77777778
1943-08-29,1943-08-29,28.88888889
1943-08-30,1943-08-30,28.88888889
1943-08-31,1943-08-31,27.77777778
1943-09-01,1943-09-01,30.0
1943-09-02,1943-09-02,28.88888889
1943-09-03,1943-09-03,28.88888889
1943-09-04,1943-09-04,30.0
1943-09-05,1943-09-05,28.88888889
1943-09-06,1943-09-06,28.33333333
1943-09-07,1943-09-07,26.66666667
1943-09-08,1943-09-08,28.88888889
1943-09-09,1943-09-09,30.55555556
1943-09-10,1943-09-10,27.77777778
1943-09-11,1943-09-11,23.88888889
1943-09-12,1943-09-12,25.55555556
1943-09-13,1943-09-13,27.22222222
1943-09-14,1943-09-14,28.88888889
1943-09-15,1943-09-15,30.0
1943-09-16,1943-09-16,30.0
1943-09-17,1943-09-17,31.11111111
