Date,Date,MeanTemp,Month,DayOfYear
1943-05-11,1943-05-11,28.88888889,5,131
1943-05-12,1943-05-12,25.55555556,5,132
1943-05-13,1943-05-13,24.44444444,5,133
1943-05-14,1943-05-14,23.88888889,5,134
1943-05-15,1943-05-15,27.77777778,5,135
1943-05-16,1943-05-16,26.66666667,5,136
1943-05-17,1943-05-17,24.44444444,5,137
1943-05-18,1943-05-18,24.44444444,5,138
1943-05-19,1943-05-19,24.44444444,5,139
1943-05-20,1943-05-20,24.44444444,5,140
1943-05-21,1943-05-21,24.44444444,5,141
1943-05-22,1943-05-22,24.44444444,5,142
1943-05-23,1943-05-23,25.55555556,5,143
1943-05-24,1943-05-24,27.22222222,5,144
1943-05-25,1943-05-25,26.66666667,5,145
1943-05-26,1943-05-26,25.55555556,5,146
1943-05-27,1943-05-27,23.33333333,5,147
1943-05-28,1943-05-28,25.55555556,5,148
1943-05-29,1943-05-29,27.77777778,5,149
1943-05-30,1943-05-30,30.0,5,150
1943-05-31,1943-05-31,28.33333333,5,151
1943-06-01,1943-06-01,28.33333333,6,152
1943-06-02,1943-06-02,27.77777778,6,153
1943-06-03,1943-06-03,27.22222222,6,154
1943-06-04,1943-06-04,28.88888889,6,155
1943-06-05,1943-06-05,26.66666667,6,156
1943-06-06,1943-06-06,26.66666667,6,157
1943-06-07,1943-06-07,27.77777778,6,158
1943-06-08,1943-06-08,27.77777778,6,159
1943-06-09,1943-06-09,26.66666667,6,160
1943-06-10,1943-06-10,27.77777778,6,161
1943-06-11,1943-06-11,30.0,6,162
1943-06-12,1943-06-12,27.77777778,6,163
1943-06-13,1943-06-13,26.66666667,6,164
1943-06-14,1943-06-14,28.33333333,6,165
1943-06-15,1943-06-15,29.44444444,6,166
1943-06-16,1943-06-16,26.66666667,6,167
1943-06-17,1943-06-17,27.77777778,6,168
1943-06-18,1943-06-18,28.88888889,6,169
1943-06-19,1943-06-19,27.77777778,6,170
1943-06-20,1943-06-20,28.33333333,6,171
1943-06-21,1943-06-21,28.33333333,6,172
1943-06-22,1943-06-22,28.88888889,6,173
1943-06-23,1943-06-23,28.88888889,6,174
1943-06-24,1943-06-24,27.77777778,6,175
1943-06-25,1943-06-25,28.33333333,6,176
1943-06-26,1943-06-26,28.33333333,6,177
1943-06-27,1943-06-27,29.44444444,6,178
1943-06-28,1943-06-28,28.88888889,6,179
1943-06-29,1943-06-29,28.88888889,6,180
1943-06-30,1943-06-30,27.77777778,6,181
1943-07-01,1943-07-01,27.77777778,7,182
1943-07-02,1943-07-02,28.33333333,7,183
1943-07-03,1943-07-03,27.77777778,7,184
1943-07-04,1943-07-04,27.22222222,7,185
1943-07-05,1943-07-05,27.77777778,7,186
1943-07-06,1943-07-06,27.77777778,7,187
1943-07-07,1943-07-07,27.77777778,7,188
1943-07-08,1943-07-08,28.88888889,7,189
1943-07-09,1943-07-09,28.88888889,7,190
1943-07-10,1943-07-10,29.44444444,7,191
1943-07-11,1943-07-11,31.11111111,7,192
1943-07-12,1943-07-12,31.11111111,7,193
1943-07-13,1943-07-13,28.88888889,7,194
1943-07-14,1943-07-14,28.88888889,7,195
1943-07-15,1943-07-15,27.77777778,7,196
1943-07-16,1943-07-16,29.44444444,7,197
1943-07-17,1943-07-17,29.44444444,7,198
1943-07-18,1943-07-18,28.88888889,7,199
1943-07-19,1943-07-19,25.55555556,7,200
1943-07-20,1943-07-20,28.88888889,7,201
1943-07-21,1943-07-21,28.88888889,7,202
1943-07-22,1943-07-22,28.88888889,7,203
1943-07-23,1943-07-23,30.0,7,204
1943-07-24,1943-07-24,31.11111111,7,205
1943-07-25,1943-07-25,30.0,7,206
1943-07-26,1943-07-26,30.0,7,207
1943-07-27,1943-07-27,28.88888889,7,208
1943-07-28,1943-07-28,28.88888889,7,209
1943-07-29,1943-07-29,28.88888889,7,210
1943-07-30,1943-07-30,30.0,7,211
1943-07-31,1943-07-31,28.88888889,7,212
1943-08-01,1943-08-01,27.22222222,8,213
1943-08-02,1943-08-02,28.88888889,8,214
1943-08-03,1943-08-03,28.88888889,8,215
1943-08-04,1943-08-04,27.77777778,8,216
1943-08-05,1943-08-05,29.44444444,8,217
1943-08-06,1943-08-06,28.33333333,8,218
1943-08-07,1943-08-07,27.22222222,8,219
1943-08-08,1943-08-08,27.77777778,8,220
1943-08-09,1943-08-09,26.66666667,8,221
1943-08-10,1943-08-10,27.77777778,8,222
1943-08-11,1943-08-11,26.66666667,8,223
1943-08-12,1943-08-12,28.88888889,8,224
1943-08-13,1943-08-13,30.0,8,225
1943-08-14,1943-08-14,26.11111111,8,226
1943-08-15,1943-08-15,27.77777778,8,227
1943-08-16,1943-08-16,27.77777778,8,228
1943-08-17,1943-08-17,28.88888889,8,229
1943-08-18,1943-08-18,28.88888889,8,230
1943-08-19,1943-08-19,28.33333333,8,231
1943-08-20,1943-08-20,29.44444444,8,232
1943-08-21,1943-08-21,27.77777778,8,233
1943-08-22,1943-08-22,27.77777778,8,234
1943-08-23,1943-08-23,28.88888889,8,235
1943-08-24,1943-08-24,28.88888889,8,236
1943-08-25,1943-08-25,28.88888889,8,237
1943-08-26,1943-08-26,26.11111111,8,238
1943-08-27,1943-08-27,25.55555556,8,239
1943-08-28,1943-08-28,27.77777778,8,240
1943-08-29,1943-08-29,28.88888889,8,241
1943-08-30,1943-08-30,28.88888889,8,242
1943-08-31,1943-08-31,27.77777778,8,243
1943-09-01,1943-09-01,30.0,9,244
1943-09-02,1943-09-02,28.88888889,9,245
1943-09-03,1943-09-03,28.88888889,9,246
1943-09-04,1943-09-04,30.0,9,247
1943-09-05,1943-09-05,28.88888889,9,248
1943-09-06,1943-09-06,28.33333333,9,249
1943-09-07,1943-09-07,26.66666667,9,250
1943-09-08,1943-09-08,28.88888889,9,251
1943-09-09,1943-09-09,30.55555556,9,252
1943-09-10,1943-09-10,27.77777778,9,253
1943-09-11,1943-09-11,23.88888889,9,254
